2025-11-21 00:00:41.629 [main] INFO  com.example.stock.StockApplication - Starting StockApplication using Java 17.0.7 with PID 15572 (C:\workspace\IntelliJ-IDEA\stock-system\target\classes started by water in C:\workspace\IntelliJ-IDEA\stock-system)
2025-11-21 00:00:41.645 [main] INFO  com.example.stock.StockApplication - No active profile set, falling back to 1 default profile: "default"
2025-11-21 00:00:42.904 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-11-21 00:00:42.904 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-11-21 00:00:42.904 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.36]
2025-11-21 00:00:42.987 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-11-21 00:00:43.713 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-11-21 00:00:54.408 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@61c4cebd
2025-11-21 00:00:54.408 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-11-21 00:01:00.974 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-11-21 00:01:01.264 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-11-21 00:01:01.284 [main] INFO  com.example.stock.StockApplication - Started StockApplication in 20.209 seconds (process running for 20.869)
2025-11-21 00:01:02.296 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - 开始批量获取所有A股股票历史数据...
2025-11-21 00:01:02.296 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - 正在获取沪市主板股票数据 (600-605)...
2025-11-21 00:01:02.296 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - 开始获取股票历史数据: symbol=sh600000
2025-11-21 00:01:04.485 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - 数据库中最新记录: 2025-11-20, 将从2025-11-10开始处理，仅获取21天的数据
2025-11-21 00:01:07.129 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ⏱️ 获取数据耗时: 2644ms, symbol=sh600000
2025-11-21 00:01:07.129 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ⏱️ 数据转换耗时: 0ms, 记录数=21
2025-11-21 00:01:07.129 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ⏱️ 数据排序完成，按日期降序排列，耗时: 0ms
2025-11-21 00:01:07.129 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ⏱️ 过滤新记录耗时: 0ms, 原数据=21, 新记录数=0
2025-11-21 00:01:07.129 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ✅ symbol=sh600000的数据已是最新，没有新记录需要写入
2025-11-21 00:01:07.129 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - 开始获取股票历史数据: symbol=sh600001
2025-11-21 00:01:08.683 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - 数据库中最新记录: 2009-12-15, 将从2009-12-05开始处理，仅获取5840天的数据
2025-11-21 00:01:11.102 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ⏱️ 获取数据耗时: 2419ms, symbol=sh600001
2025-11-21 00:01:11.117 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ⏱️ 数据转换耗时: 0ms, 记录数=2753
2025-11-21 00:01:11.117 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ⏱️ 数据排序完成，按日期降序排列，耗时: 0ms
2025-11-21 00:01:11.117 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ⏱️ 过滤新记录耗时: 0ms, 原数据=2753, 新记录数=0
2025-11-21 00:01:11.117 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ✅ symbol=sh600001的数据已是最新，没有新记录需要写入
2025-11-21 00:01:11.117 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - 开始获取股票历史数据: symbol=sh600002
2025-11-21 00:01:13.056 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - 数据库中最新记录: 2006-04-06, 将从2006-03-27开始处理，仅获取7189天的数据
2025-11-21 00:01:15.048 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ⏱️ 获取数据耗时: 1992ms, symbol=sh600002
2025-11-21 00:01:15.048 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ⏱️ 数据转换耗时: 0ms, 记录数=1912
2025-11-21 00:01:15.048 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ⏱️ 数据排序完成，按日期降序排列，耗时: 0ms
2025-11-21 00:01:15.048 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ⏱️ 过滤新记录耗时: 0ms, 原数据=1912, 新记录数=0
2025-11-21 00:01:15.048 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ✅ symbol=sh600002的数据已是最新，没有新记录需要写入
2025-11-21 00:01:15.048 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - 开始获取股票历史数据: symbol=sh600003
2025-11-21 00:01:16.141 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - 数据库中最新记录: 2009-03-13, 将从2009-03-03开始处理，仅获取6117天的数据
2025-11-21 00:01:18.224 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ⏱️ 获取数据耗时: 2083ms, symbol=sh600003
2025-11-21 00:01:18.224 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ⏱️ 数据转换耗时: 0ms, 记录数=2251
2025-11-21 00:01:18.224 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ⏱️ 数据排序完成，按日期降序排列，耗时: 0ms
2025-11-21 00:01:18.224 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ⏱️ 过滤新记录耗时: 0ms, 原数据=2251, 新记录数=0
2025-11-21 00:01:18.224 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ✅ symbol=sh600003的数据已是最新，没有新记录需要写入
2025-11-21 00:01:18.224 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - 开始获取股票历史数据: symbol=sh600004
2025-11-21 00:01:20.083 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - 数据库中最新记录: 2025-11-20, 将从2025-11-10开始处理，仅获取21天的数据
2025-11-21 00:01:20.712 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ⏱️ 获取数据耗时: 629ms, symbol=sh600004
2025-11-21 00:01:20.712 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ⏱️ 数据转换耗时: 0ms, 记录数=21
2025-11-21 00:01:20.712 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ⏱️ 数据排序完成，按日期降序排列，耗时: 0ms
2025-11-21 00:01:20.712 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ⏱️ 过滤新记录耗时: 0ms, 原数据=21, 新记录数=0
2025-11-21 00:01:20.712 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ✅ symbol=sh600004的数据已是最新，没有新记录需要写入
2025-11-21 00:01:20.712 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - 开始获取股票历史数据: symbol=sh600005
2025-11-21 00:01:21.791 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - 数据库中最新记录: 2017-01-23, 将从2017-01-13开始处理，仅获取3244天的数据
2025-11-21 00:01:24.373 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ⏱️ 获取数据耗时: 2582ms, symbol=sh600005
2025-11-21 00:01:24.373 [stock-sync-1] INFO  c.example.stock.service.StockHistoryFetchService - ⏱️ 数据转换耗时: 0ms, 记录数=3244
